i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
1.920, 1.915, 2793.000, 2754.500, 1586.200, 13.757, 13.554, -1.954
1.930, 1.925, 2793.400, 2756.000, 1585.500, 13.757, 13.563, -1.973
1.940, 1.935, 2794.500, 2757.800, 1584.200, 13.761, 13.568, -1.985
1.950, 1.945, 2794.500, 2757.900, 1584.200, 13.761, 13.568, -1.985
1.960, 1.955, 2794.600, 2759.100, 1582.300, 13.761, 13.577, -2.010
1.970, 1.965, 2795.000, 2759.800, 1582.100, 13.765, 13.577, -2.010
1.980, 1.975, 2796.100, 2761.100, 1580.700, 13.769, 13.587, -2.071
1.990, 1.986, 2796.500, 2762.000, 1580.800, 13.769, 13.592, -2.071
2.000, 1.995, 2797.600, 2762.000, 1580.600, 13.773, 13.592, -2.071
2.010, 2.005, 2798.200, 2762.400, 1579.800, 13.777, 13.592, -2.095
2.020, 2.015, 2797.100, 2762.500, 1580.400, 13.773, 13.592, -2.071
2.030, 2.025, 2799.300, 2762.700, 1579.300, 13.781, 13.592, -2.095
2.040, 2.036, 2800.600, 2763.400, 1579.800, 13.785, 13.596, -2.095
2.050, 2.045, 2802.100, 2763.700, 1579.200, 13.797, 13.596, -2.095
2.060, 2.056, 2800.600, 2763.400, 1578.600, 13.785, 13.596, -2.131
2.070, 2.065, 2802.200, 2763.800, 1578.500, 13.797, 13.596, -2.131
2.080, 2.075, 2804.300, 2764.000, 1577.800, 13.809, 13.601, -2.157
2.090, 2.086, 2803.100, 2765.100, 1578.000, 13.803, 13.605, -2.131
2.100, 2.096, 2804.800, 2765.000, 1576.900, 13.809, 13.605, -2.195
2.110, 2.105, 2803.900, 2764.300, 1577.300, 13.803, 13.601, -2.157
2.120, 2.114, 2805.200, 2764.600, 1576.700, 13.815, 13.601, -2.195
2.130, 2.124, 2805.700, 2765.200, 1577.000, 13.815, 13.605, -2.157
2.140, 2.135, 2806.800, 2765.000, 1576.500, 13.821, 13.605, -2.195
2.150, 2.144, 2806.400, 2765.300, 1575.800, 13.821, 13.605, -2.217
2.160, 2.155, 2806.600, 2766.500, 1575.800, 13.821, 13.610, -2.217
2.170, 2.164, 2806.300, 2766.100, 1575.800, 13.821, 13.610, -2.217
2.180, 2.174, 2806.400, 2766.300, 1575.800, 13.821, 13.610, -2.217
2.190, 2.185, 2805.800, 2766.000, 1574.200, 13.815, 13.610, -2.227
2.200, 2.194, 2806.000, 2766.200, 1572.300, 13.821, 13.610, -2.251
2.210, 2.204, 2806.000, 2765.500, 1571.600, 13.821, 13.605, -2.263
2.220, 2.214, 2806.900, 2766.200, 1571.000, 13.821, 13.610, -2.263
2.230, 2.224, 2807.300, 2766.100, 1571.100, 13.827, 13.610, -2.263
2.240, 2.235, 2808.000, 2765.900, 1569.300, 13.833, 13.605, -2.299
2.250, 2.245, 2807.200, 2766.000, 1570.000, 13.827, 13.610, -2.283
2.260, 2.255, 2808.000, 2766.700, 1568.800, 13.833, 13.610, -2.329
2.270, 2.265, 2808.400, 2766.100, 1569.300, 13.833, 13.610, -2.299
2.280, 2.275, 2808.700, 2767.100, 1568.100, 13.833, 13.615, -2.329
2.290, 2.285, 2807.400, 2768.900, 1567.900, 13.827, 13.619, -2.364
2.300, 2.295, 2808.500, 2768.000, 1567.500, 13.833, 13.619, -2.364
2.310, 2.305, 2808.600, 2767.400, 1567.400, 13.833, 13.615, -2.364
2.320, 2.315, 2808.000, 2768.300, 1566.700, 13.833, 13.619, -2.388
2.330, 2.325, 2808.300, 2768.500, 1566.200, 13.833, 13.619, -2.388
2.340, 2.335, 2809.600, 2769.300, 1566.300, 13.839, 13.624, -2.388
2.350, 2.345, 2810.100, 2769.600, 1565.100, 13.845, 13.624, -2.421
2.360, 2.355, 2810.000, 2769.500, 1565.500, 13.845, 13.624, -2.421
2.370, 2.364, 2809.300, 2768.800, 1565.100, 13.839, 13.619, -2.421
2.380, 2.374, 2810.200, 2770.600, 1565.000, 13.845, 13.629, -2.421
2.390, 2.385, 2810.200, 2770.000, 1564.300, 13.845, 13.629, -2.443
2.400, 2.395, 2810.900, 2771.300, 1563.800, 13.845, 13.635, -2.469
2.410, 2.405, 2810.500, 2771.600, 1564.300, 13.845, 13.635, -2.443
2.420, 2.415, 2811.200, 2771.900, 1563.500, 13.849, 13.635, -2.469
2.430, 2.424, 2810.600, 2771.400, 1563.500, 13.845, 13.635, -2.469
2.440, 2.435, 2809.900, 2770.700, 1563.400, 13.839, 13.629, -2.469
2.450, 2.445, 2810.500, 2771.400, 1562.700, 13.845, 13.635, -2.506
2.460, 2.455, 2809.800, 2770.300, 1562.600, 13.839, 13.629, -2.506
2.470, 2.465, 2811.600, 2772.200, 1561.200, 13.849, 13.641, -2.526
2.480, 2.474, 2810.900, 2771.700, 1560.100, 13.845, 13.635, -2.526
2.490, 2.485, 2811.300, 2772.000, 1560.700, 13.849, 13.641, -2.526
2.500, 2.495, 2812.500, 2773.400, 1558.600, 13.854, 13.648, -2.558
2.510, 2.505, 2811.100, 2770.900, 1558.600, 13.849, 13.629, -2.558
2.520, 2.516, 2811.100, 2773.100, 1558.300, 13.849, 13.648, -2.558
2.530, 2.525, 2812.000, 2772.900, 1556.300, 13.854, 13.641, -2.605
2.540, 2.535, 2811.800, 2774.700, 1556.100, 13.849, 13.654, -2.605
2.550, 2.545, 2814.000, 2774.400, 1555.700, 13.862, 13.654, -2.624
2.560, 2.555, 2813.200, 2775.000, 1554.900, 13.858, 13.660, -2.671
2.570, 2.566, 2813.100, 2775.100, 1555.100, 13.858, 13.660, -2.624
2.580, 2.575, 2813.100, 2774.600, 1554.900, 13.858, 13.654, -2.671
2.590, 2.585, 2813.500, 2775.100, 1554.100, 13.858, 13.660, -2.671
2.600, 2.595, 2815.000, 2775.700, 1553.300, 13.867, 13.660, -2.680
2.610, 2.605, 2813.700, 2775.900, 1553.700, 13.858, 13.660, -2.680
2.620, 2.616, 2814.200, 2775.800, 1553.400, 13.862, 13.660, -2.680
2.630, 2.625, 2814.200, 2775.200, 1552.900, 13.862, 13.660, -2.705
2.640, 2.635, 2815.600, 2776.200, 1552.900, 13.867, 13.667, -2.705
2.650, 2.645, 2815.100, 2776.300, 1552.500, 13.867, 13.667, -2.705
2.660, 2.655, 2814.300, 2776.200, 1552.400, 13.862, 13.667, -2.705
2.670, 2.665, 2815.200, 2776.000, 1552.000, 13.867, 13.667, -2.705
2.680, 2.674, 2815.500, 2776.400, 1552.200, 13.867, 13.667, -2.705
2.690, 2.685, 2814.200, 2776.000, 1551.500, 13.862, 13.667, -2.741
2.700, 2.695, 2811.000, 2773.300, 1551.300, 13.849, 13.648, -2.741
2.710, 2.705, 2812.200, 2772.700, 1551.200, 13.854, 13.641, -2.741
2.720, 2.715, 2812.300, 2773.200, 1550.900, 13.854, 13.648, -2.772
2.730, 2.725, 2813.400, 2774.200, 1550.300, 13.858, 13.654, -2.772
2.740, 2.735, 2813.600, 2773.400, 1550.400, 13.858, 13.648, -2.772
2.750, 2.745, 2813.300, 2774.100, 1549.900, 13.858, 13.654, -2.790
2.760, 2.755, 2810.700, 2773.400, 1549.300, 13.845, 13.648, -2.790
2.770, 2.766, 2812.000, 2773.600, 1548.800, 13.854, 13.648, -2.786
2.780, 2.775, 2815.000, 2776.000, 1549.000, 13.867, 13.667, -2.790
2.790, 2.785, 2815.600, 2777.100, 1546.500, 13.867, 13.673, -2.814
2.800, 2.795, 2816.500, 2777.200, 1545.300, 13.871, 13.673, -2.839
2.810, 2.805, 2817.300, 2777.600, 1545.700, 13.875, 13.673, -2.839
