SRC,MULT,CH1,CH2,VBAT,VPOW
10.950, 10.945, 10.946, 10.946, 8.005, 2214.500
10.960, 10.957, 10.954, 10.953, 8.005, 2216.300
10.970, 10.964, 10.958, 10.964, 8.005, 2219.400
10.980, 10.978, 10.967, 10.976, 8.005, 2221.700
10.990, 10.987, 10.975, 10.980, 8.005, 2222.800
11.000, 10.994, 10.984, 10.988, 8.005, 2223.600
11.010, 11.006, 10.992, 11.001, 8.005, 2224.600
11.020, 11.014, 11.008, 11.008, 8.005, 2226.100
11.030, 11.027, 11.019, 11.026, 8.005, 2231.900
11.040, 11.037, 11.034, 11.038, 8.005, 2234.200
11.050, 11.048, 11.043, 11.046, 8.005, 2235.700
11.060, 11.056, 11.052, 11.054, 8.005, 2236.000
11.070, 11.064, 11.056, 11.064, 8.005, 2237.000
11.080, 11.077, 11.069, 11.077, 8.005, 2239.700
11.090, 11.086, 11.083, 11.088, 8.005, 2243.300
11.100, 11.097, 11.093, 11.110, 8.005, 2246.100
11.110, 11.106, 11.104, 11.112, 8.005, 2247.600
11.120, 11.119, 11.113, 11.122, 8.005, 2248.900
11.130, 11.127, 11.116, 11.127, 8.005, 2249.300
11.140, 11.136, 11.133, 11.137, 8.005, 2251.200
11.150, 11.147, 11.140, 11.152, 8.005, 2253.100
11.160, 11.155, 11.150, 11.155, 8.005, 2256.900
11.170, 11.168, 11.164, 11.168, 8.005, 2260.100
11.180, 11.176, 11.168, 11.183, 8.005, 2261.800
11.190, 11.184, 11.181, 11.195, 8.005, 2262.000
11.200, 11.195, 11.191, 11.202, 8.005, 2262.900
11.210, 11.204, 11.199, 11.208, 8.005, 2265.100
11.220, 11.217, 11.219, 11.222, 8.005, 2266.900
11.230, 11.225, 11.224, 11.221, 8.005, 2269.200
11.240, 11.237, 11.240, 11.239, 8.005, 2272.500
11.250, 11.245, 11.250, 11.247, 8.005, 2274.300
11.260, 11.253, 11.252, 11.259, 8.005, 2276.000
11.270, 11.267, 11.266, 11.272, 8.005, 2279.400
11.280, 11.274, 11.281, 11.280, 8.005, 2281.600
11.290, 11.286, 11.287, 11.289, 8.005, 2285.100
11.300, 11.294, 11.289, 11.294, 8.005, 2286.800
11.310, 11.308, 11.304, 11.303, 8.005, 2287.200
11.320, 11.316, 11.311, 11.320, 8.005, 2288.800
11.330, 11.324, 11.322, 11.323, 8.005, 2290.500
11.340, 11.336, 11.330, 11.337, 8.005, 2294.600
11.350, 11.344, 11.344, 11.347, 8.005, 2297.500
11.360, 11.357, 11.355, 11.360, 8.005, 2298.100
11.370, 11.366, 11.362, 11.368, 8.005, 2299.900
11.380, 11.377, 11.380, 11.383, 8.005, 2300.700
11.390, 11.385, 11.389, 11.387, 8.005, 2302.700
11.400, 11.393, 11.395, 11.396, 8.005, 2303.800
11.410, 11.407, 11.405, 11.411, 8.005, 2309.600
