src,mult,ch1,ch2,vup,vdown
11.580, 11.571, 7.997, 7.997, 11.597, 8.006
11.590, 11.580, 7.997, 7.997, 11.605, 8.006
11.600, 11.593, 7.997, 7.997, 11.626, 8.006
11.610, 11.601, 7.997, 7.997, 11.628, 8.006
11.620, 11.612, 7.997, 7.997, 11.642, 8.006
11.630, 11.620, 7.997, 7.997, 11.648, 8.006
11.640, 11.629, 7.997, 7.997, 11.658, 8.006
11.650, 11.642, 7.997, 7.997, 11.675, 8.006
11.660, 11.650, 7.997, 7.997, 11.679, 8.006
11.670, 11.662, 7.997, 7.997, 11.692, 8.006
11.680, 11.670, 7.997, 7.997, 11.700, 8.006
11.690, 11.683, 7.997, 7.997, 11.709, 8.006
11.700, 11.693, 7.997, 7.997, 11.723, 8.006
11.710, 11.701, 7.997, 7.997, 11.729, 8.006
11.720, 11.712, 7.997, 7.997, 11.736, 8.006
11.730, 11.720, 7.997, 7.997, 11.753, 8.006
11.740, 11.734, 7.997, 7.997, 11.762, 8.006
11.750, 11.742, 7.997, 7.997, 11.776, 8.006
11.760, 11.753, 7.997, 7.997, 11.783, 8.006
11.770, 11.762, 7.997, 7.997, 11.794, 8.006
11.780, 11.770, 7.997, 7.997, 11.799, 8.006
11.790, 11.783, 7.997, 7.997, 11.815, 8.006
11.800, 11.792, 7.997, 7.997, 11.826, 8.006
11.810, 11.803, 7.997, 7.997, 11.832, 8.006
11.820, 11.811, 7.997, 7.997, 11.845, 8.006
11.830, 11.819, 7.997, 7.997, 11.849, 8.006
11.840, 11.833, 7.997, 7.997, 11.860, 8.006
11.850, 11.842, 7.997, 7.997, 11.869, 8.006
11.860, 11.853, 7.997, 7.997, 11.883, 8.006
11.870, 11.861, 7.997, 7.997, 11.892, 8.006
11.880, 11.875, 7.997, 7.997, 11.902, 8.006
11.890, 11.882, 7.997, 7.997, 11.908, 8.006
11.900, 11.891, 7.997, 7.997, 11.927, 8.006
11.910, 11.902, 7.997, 7.997, 11.934, 8.006
11.920, 11.911, 7.997, 7.997, 11.943, 8.006
11.930, 11.924, 7.997, 7.997, 11.964, 8.006
11.940, 11.932, 7.997, 7.997, 11.967, 8.006
11.950, 11.944, 7.997, 7.997, 11.976, 8.006
11.960, 11.952, 7.997, 7.997, 11.981, 8.006
11.970, 11.960, 7.997, 7.997, 11.997, 8.006
11.980, 11.973, 7.997, 7.997, 12.001, 8.006
11.990, 11.981, 7.997, 7.997, 12.009, 8.006
12.000, 11.993, 7.997, 7.997, 12.030, 8.006
12.010, 12.001, 7.997, 7.997, 12.035, 8.006
12.020, 12.014, 7.997, 7.997, 12.048, 8.006
12.030, 12.023, 7.997, 7.997, 12.058, 8.006
12.040, 12.031, 7.997, 7.997, 12.063, 8.006
12.050, 12.042, 7.997, 7.997, 12.074, 8.006
12.060, 12.050, 7.997, 7.997, 12.084, 8.006
12.070, 12.064, 7.997, 7.997, 12.097, 8.006
12.080, 12.072, 7.997, 7.997, 12.108, 8.006
12.090, 12.080, 7.997, 7.997, 12.112, 8.006
12.100, 12.080, 7.997, 7.997, 12.114, 8.006
12.110, 12.100, 7.997, 7.997, 12.132, 8.006
12.120, 12.114, 7.997, 7.997, 12.153, 8.006
12.130, 12.123, 7.997, 7.997, 12.155, 8.006
12.140, 12.133, 7.997, 7.997, 12.165, 8.006
12.150, 12.142, 7.997, 7.997, 12.180, 8.006
12.160, 12.150, 7.997, 7.997, 12.188, 8.006
12.170, 12.163, 7.997, 7.997, 12.194, 8.006
12.180, 12.172, 7.997, 7.997, 12.201, 8.006
12.190, 12.183, 7.997, 7.997, 12.213, 8.006
12.200, 12.192, 7.997, 7.997, 12.233, 8.006
12.210, 12.205, 7.997, 7.997, 12.247, 8.006
12.220, 12.213, 7.997, 7.997, 12.252, 8.006
12.230, 12.228, 7.997, 7.997, 12.280, 8.006
12.240, 12.236, 7.997, 7.997, 12.286, 8.006
12.250, 12.244, 7.997, 7.997, 12.288, 8.006
12.260, 12.255, 7.997, 7.997, 12.292, 8.006
12.270, 12.264, 7.997, 7.997, 12.299, 8.006
12.280, 12.272, 7.997, 7.997, 12.307, 8.006
12.290, 12.285, 7.997, 7.997, 12.316, 8.006
12.300, 12.294, 7.997, 7.997, 12.334, 8.006
12.310, 12.305, 7.997, 7.997, 12.341, 8.006
12.320, 12.313, 7.997, 7.997, 12.344, 8.006
12.330, 12.327, 7.997, 7.997, 12.360, 8.006
12.340, 12.335, 7.997, 7.997, 12.368, 8.006
12.350, 12.343, 7.997, 7.997, 12.377, 8.006
12.360, 12.354, 7.997, 7.997, 12.383, 8.006
12.370, 12.364, 7.997, 7.997, 12.400, 8.006
12.380, 12.377, 7.997, 7.997, 12.408, 8.006
12.390, 12.384, 7.997, 7.997, 12.420, 8.006
12.400, 12.396, 7.997, 7.997, 12.431, 8.006
12.410, 12.404, 7.997, 7.997, 12.442, 8.006
12.420, 12.413, 7.997, 7.997, 12.446, 8.006
12.430, 12.426, 7.997, 7.997, 12.459, 8.006
12.440, 12.434, 7.997, 7.997, 12.468, 8.006
12.450, 12.446, 7.997, 7.997, 12.476, 8.006
12.460, 12.453, 7.997, 7.997, 12.486, 8.006
12.470, 12.462, 7.997, 7.997, 12.493, 8.006
12.480, 12.476, 7.997, 7.997, 12.504, 8.006
12.490, 12.483, 7.997, 7.997, 12.519, 8.006
12.500, 12.495, 7.997, 7.997, 12.529, 8.006
12.510, 12.503, 7.997, 7.997, 12.535, 8.006
12.520, 12.516, 7.997, 7.997, 12.546, 8.006
12.530, 12.525, 7.997, 7.997, 12.560, 8.006
12.540, 12.532, 7.997, 7.997, 12.563, 8.006
12.550, 12.544, 7.997, 7.997, 12.571, 8.006
12.560, 12.552, 7.997, 7.997, 12.583, 8.006
12.570, 12.565, 7.997, 7.997, 12.601, 8.006
12.580, 12.574, 7.997, 7.997, 12.605, 8.006
12.590, 12.585, 7.997, 7.997, 12.614, 8.006
12.600, 12.594, 7.997, 7.997, 12.630, 8.006
12.610, 12.601, 7.997, 7.997, 12.633, 8.006
12.620, 12.615, 7.997, 7.997, 12.651, 8.006
12.630, 12.624, 7.997, 7.997, 12.657, 8.006
12.640, 12.635, 7.997, 7.997, 12.669, 8.006
12.650, 12.643, 7.997, 7.997, 12.685, 8.006
12.660, 12.651, 7.997, 7.997, 12.688, 8.006
12.670, 12.665, 7.997, 7.997, 12.705, 8.006
12.680, 12.673, 7.997, 7.997, 12.710, 8.006
12.690, 12.684, 7.997, 7.997, 12.720, 8.006
12.700, 12.693, 7.997, 7.997, 12.727, 8.006
12.710, 12.706, 7.997, 7.997, 12.738, 8.006
12.720, 12.714, 7.997, 7.997, 12.749, 8.006
12.730, 12.723, 7.997, 7.997, 12.758, 8.006
12.740, 12.734, 7.997, 7.997, 12.766, 8.006
12.750, 12.742, 7.997, 7.997, 12.782, 8.006
