SRC,MULT,VBAT,VPOW
11.900, 11.891, 2410.600, 2413.600
11.910, 11.902, 2412.800, 2414.300
11.920, 11.910, 2414.900, 2418.700
11.930, 11.924, 2416.200, 2421.300
11.940, 11.932, 2417.900, 2421.800
11.950, 11.943, 2419.600, 2423.800
11.960, 11.951, 2420.400, 2424.200
11.970, 11.960, 2422.900, 2426.600
11.980, 11.973, 2427.100, 2428.200
11.990, 11.980, 2428.800, 2429.300
12.000, 11.992, 2430.000, 2431.800
12.010, 12.000, 2430.900, 2434.200
12.020, 12.013, 2435.000, 2438.500
12.030, 12.023, 2437.800, 2440.200
12.040, 12.030, 2439.800, 2440.400
12.050, 12.030, 2440.600, 2440.900
12.060, 12.050, 2442.300, 2442.700
12.070, 12.063, 2445.600, 2447.400
12.080, 12.072, 2445.100, 2449.700
12.090, 12.079, 2447.300, 2452.500
12.100, 12.092, 2451.200, 2453.300
12.110, 12.100, 2453.200, 2454.800
12.120, 12.113, 2455.000, 2456.200
12.130, 12.122, 2456.300, 2458.800
12.140, 12.133, 2457.200, 2462.600
12.150, 12.141, 2462.100, 2464.300
12.160, 12.149, 2464.200, 2465.300
12.170, 12.163, 2465.200, 2467.800
12.180, 12.171, 2467.700, 2468.000
12.190, 12.182, 2468.800, 2470.000
12.200, 12.191, 2469.700, 2472.100
12.210, 12.204, 2472.200, 2473.300
12.220, 12.212, 2472.800, 2474.200
12.230, 12.228, 2477.500, 2480.100
12.240, 12.235, 2478.500, 2481.600
12.250, 12.244, 2480.000, 2484.100
12.260, 12.255, 2481.800, 2488.200
12.270, 12.264, 2486.100, 2490.000
12.280, 12.271, 2489.200, 2490.900
12.290, 12.284, 2491.600, 2493.300
12.300, 12.293, 2494.100, 2494.100
12.310, 12.304, 2493.700, 2498.100
12.320, 12.313, 2496.400, 2500.900
12.330, 12.326, 2499.200, 2502.700
12.340, 12.334, 2501.700, 2505.300
12.350, 12.343, 2503.800, 2506.200
12.360, 12.353, 2505.900, 2507.000
12.370, 12.363, 2506.400, 2508.900
12.380, 12.376, 2508.500, 2513.700
12.390, 12.384, 2511.300, 2514.800
12.400, 12.396, 2514.700, 2518.100
12.410, 12.404, 2516.300, 2522.700
12.420, 12.412, 2517.900, 2521.100
12.430, 12.426, 2519.700, 2524.900
12.440, 12.434, 2521.300, 2525.700
12.450, 12.445, 2522.200, 2527.000
12.460, 12.453, 2524.900, 2529.100
12.470, 12.462, 2527.700, 2531.400
12.480, 12.475, 2531.300, 2532.100
12.490, 12.483, 2531.300, 2533.100
12.500, 12.494, 2533.000, 2536.300
12.510, 12.502, 2534.200, 2539.400
12.520, 12.515, 2538.900, 2541.700
12.530, 12.524, 2540.900, 2543.500
12.540, 12.532, 2543.300, 2543.900
12.550, 12.543, 2544.400, 2545.200
12.560, 12.551, 2545.900, 2547.100
12.570, 12.565, 2547.400, 2552.500
12.580, 12.573, 2550.200, 2553.300
12.590, 12.584, 2552.600, 2555.600
12.600, 12.593, 2554.900, 2556.700
12.610, 12.601, 2555.900, 2558.000
12.620, 12.614, 2558.400, 2560.100
12.630, 12.624, 2559.200, 2563.000
12.640, 12.634, 2561.000, 2565.900
12.650, 12.643, 2564.100, 2567.600
12.660, 12.651, 2567.700, 2569.100
12.670, 12.664, 2569.200, 2570.400
12.680, 12.673, 2570.900, 2571.300
12.690, 12.684, 2572.600, 2572.700
12.700, 12.693, 2573.700, 2574.500
12.710, 12.706, 2577.300, 2578.700
12.720, 12.714, 2579.400, 2579.700
12.730, 12.723, 2581.900, 2583.000
