src,mult,ch1,ch2,vup,vdown
12.030, 12.021, 12.033, 11.669, 12.051, 11.719
12.040, 12.029, 12.040, 11.680, 12.060, 11.727
12.050, 12.040, 12.052, 11.688, 12.073, 11.735
12.060, 12.048, 12.064, 11.693, 12.078, 11.743
12.070, 12.062, 12.075, 11.706, 12.095, 11.757
12.080, 12.070, 12.084, 11.713, 12.104, 11.771
12.090, 12.078, 12.090, 11.725, 12.106, 11.778
12.100, 12.091, 12.100, 11.735, 12.120, 11.788
12.110, 12.099, 12.112, 11.749, 12.127, 11.794
12.120, 12.112, 12.126, 11.758, 12.138, 11.796
12.130, 12.121, 12.134, 11.765, 12.155, 11.807
12.140, 12.132, 12.143, 11.775, 12.158, 11.823
12.150, 12.140, 12.149, 11.784, 12.170, 11.837
12.160, 12.148, 12.154, 11.792, 12.187, 11.844
12.170, 12.162, 12.166, 11.803, 12.190, 11.856
12.180, 12.170, 12.174, 11.815, 12.199, 11.869
12.190, 12.181, 12.187, 11.827, 12.205, 11.878
12.200, 12.190, 12.202, 11.834, 12.224, 11.890
12.210, 12.203, 12.216, 11.845, 12.242, 11.903
12.220, 12.211, 12.226, 11.851, 12.254, 11.910
12.230, 12.226, 12.241, 11.870, 12.282, 11.917
12.240, 12.234, 12.252, 11.876, 12.282, 11.927
12.250, 12.242, 12.263, 11.883, 12.287, 11.949
12.260, 12.253, 12.275, 11.898, 12.290, 11.953
12.270, 12.262, 12.286, 11.905, 12.294, 11.960
12.280, 12.262, 12.283, 11.908, 12.294, 11.965
12.290, 12.283, 12.309, 11.931, 12.310, 11.981
12.300, 12.292, 12.316, 11.938, 12.331, 11.985
12.310, 12.303, 12.324, 11.954, 12.336, 11.997
12.320, 12.311, 12.333, 11.963, 12.342, 12.009
12.330, 12.325, 12.343, 11.979, 12.352, 12.024
12.340, 12.333, 12.355, 11.987, 12.359, 12.032
12.350, 12.341, 12.359, 11.994, 12.369, 12.044
12.360, 12.352, 12.371, 12.005, 12.378, 12.046
12.370, 12.362, 12.386, 12.012, 12.387, 12.053
12.380, 12.375, 12.398, 12.023, 12.402, 12.069
12.390, 12.382, 12.407, 12.032, 12.409, 12.078
12.400, 12.394, 12.417, 12.046, 12.425, 12.091
12.410, 12.402, 12.426, 12.053, 12.432, 12.095
12.420, 12.411, 12.431, 12.062, 12.441, 12.111
12.430, 12.424, 12.451, 12.076, 12.456, 12.125
12.440, 12.432, 12.455, 12.079, 12.460, 12.132
12.450, 12.444, 12.467, 12.093, 12.472, 12.145
12.460, 12.451, 12.474, 12.103, 12.483, 12.152
12.470, 12.460, 12.479, 12.108, 12.490, 12.163
12.480, 12.474, 12.487, 12.125, 12.503, 12.172
12.490, 12.481, 12.495, 12.133, 12.509, 12.175
12.500, 12.493, 12.507, 12.146, 12.524, 12.197
12.510, 12.501, 12.513, 12.153, 12.529, 12.202
12.520, 12.514, 12.525, 12.166, 12.543, 12.215
12.530, 12.523, 12.542, 12.172, 12.555, 12.229
12.540, 12.530, 12.551, 12.176, 12.561, 12.234
12.550, 12.542, 12.563, 12.190, 12.567, 12.269
12.560, 12.550, 12.578, 12.197, 12.590, 12.270
12.570, 12.564, 12.594, 12.215, 12.594, 12.272
12.580, 12.572, 12.603, 12.224, 12.602, 12.277
12.590, 12.583, 12.617, 12.232, 12.612, 12.285
12.600, 12.592, 12.628, 12.244, 12.620, 12.290
12.610, 12.600, 12.631, 12.252, 12.628, 12.300
12.620, 12.613, 12.643, 12.268, 12.640, 12.305
12.630, 12.622, 12.651, 12.281, 12.656, 12.308
12.640, 12.633, 12.657, 12.288, 12.659, 12.331
12.650, 12.642, 12.662, 12.299, 12.672, 12.339
12.660, 12.649, 12.667, 12.307, 12.680, 12.341
12.670, 12.663, 12.678, 12.320, 12.689, 12.364
12.680, 12.671, 12.684, 12.326, 12.698, 12.376
12.690, 12.682, 12.695, 12.337, 12.712, 12.379
12.700, 12.691, 12.706, 12.345, 12.722, 12.392
12.710, 12.705, 12.716, 12.357, 12.729, 12.403
12.720, 12.712, 12.721, 12.360, 12.738, 12.410
12.730, 12.721, 12.729, 12.373, 12.749, 12.415
12.740, 12.732, 12.742, 12.386, 12.762, 12.428
12.750, 12.741, 12.747, 12.390, 12.764, 12.436
12.760, 12.755, 12.762, 12.404, 12.784, 12.452
12.770, 12.763, 12.771, 12.413, 12.791, 12.458
12.780, 12.774, 12.785, 12.424, 12.807, 12.469
